pin,class,lat,lon,address
16051030010000,318,41.90881133,-87.78066365,6149 NORTH AVE
16051040070000,318,41.90888218,-87.77842089,6101 NORTH AVE
16051050010000,212,41.9088874,-87.77803968,6051 NORTH AVE
16051050080000,391,41.90900467,-87.77744398,6033 NORTH AVE
16051050090000,391,41.90900587,-87.77709798,6033 NORTH AVE
16051050340000,212,41.90902531,-87.77763022,6043 NORTH AVE
16051050380000,212,41.90894743,-87.77795803,6049 W NORTH AVE
16051060190000,315,41.90863444,-87.77593126,1530 N AUSTIN BLVD
16051060220000,211,41.90830533,-87.7759391,1522 N AUSTIN BLVD 2
16051060230000,211,41.90821436,-87.77593108,1520 N AUSTIN BLVD
16051060250000,211,41.9080313,-87.77592207,1514 N AUSTIN BLVD 1
16051120220000,211,41.90642168,-87.77713227,1113 N HUMPHREY AVE
16051130190000,211,41.90692502,-87.77587994,1428 N AUSTIN BLVD
16051130200000,211,41.90682113,-87.77588085,1426 N AUSTIN BLVD
16051130210000,211,41.90671076,-87.77588181,1424 N AUSTIN BLVD
16051130220000,211,41.90661335,-87.77588266,1420 N AUSTIN BLVD 1
16051130230000,211,41.90652234,-87.77586641,1416 N AUSTIN BLVD
16051130240000,315,41.90634872,-87.77583938,1414 N AUSTIN BLVD
16051130250000,211,41.90625609,-87.77583349,1410 N AUSTIN BLVD
16051130260000,211,41.9061782,-87.77585179,1406 N AUSTIN BLVD 1
16051130270000,211,41.90609395,-87.77584371,1404 N AUSTIN BLVD 1
16051200200000,315,41.90569794,-87.77569771,1350 N AUSTIN BLVD
16051200230000,211,41.90538056,-87.77581083,1340 N AUSTIN BLVD
16051200250000,211,41.90515698,-87.77579314,1336 N AUSTIN BLVD
16051200260000,211,41.90503971,-87.77578925,1332 N AUSTIN BLVD 2
16051200270000,211,41.90492612,-87.77578534,1328 N AUSTIN BLVD 2
16051200280000,211,41.9048089,-87.77579126,1324 N AUSTIN BLVD
16051200290000,211,41.90467684,-87.77575868,1322 N AUSTIN BLVD
16051200300000,211,41.90459976,-87.77572991,1320 N AUSTIN BLVD
16051200310000,211,41.90450814,-87.7757258,1316 N AUSTIN BLVD 2
16051270240000,211,41.90331252,-87.77572599,1238 N AUSTIN BLVD
16051270250000,211,41.90314245,-87.77570919,1232 N AUSTIN BLVD
16051270260000,315,41.90302652,-87.7758679,1228 N AUSTIN BLVD
16053030290000,211,41.90105269,-87.78048688,829 N LOMBARD AVE
16053040230000,211,41.90112117,-87.77929925,827 HAYES AVE
16053070190000,211,41.9017316,-87.77558677,1144 N AUSTIN BLVD
16053070280000,211,41.9008573,-87.7755425,1118 N AUSTIN BLVD
16053070340000,315,41.90034949,-87.77550105,1100 N AUSTIN BLVD
16053080130000,211,41.89859199,-87.78470146,706 N RIDGELAND AVE
16053100160000,212,41.89842061,-87.78145516,700 N HARVEY AVE
16053120280000,211,41.89890806,-87.77799334,715 N TAYLOR AVE
16053120310000,211,41.8984655,-87.77798451,701 N TAYLOR AVE 1N
16053130300000,211,41.89845868,-87.77678659,701 N HUMPHREY AVE
16053140230000,211,41.89934586,-87.77558453,1028 N AUSTIN BLVD
16053140240000,315,41.89919937,-87.77552769,1022 N AUSTIN BLVD
16053140250000,315,41.89902338,-87.77553085,1018 N AUSTIN BLVD
16053140280000,211,41.89866997,-87.77554275,1004 N AUSTIN BLVD 1
16053140290000,211,41.89858184,-87.77553478,1002 N AUSTIN BLVD 1
16053140300000,315,41.89848524,-87.77545567,1000 N AUSTIN BLVD
16053150260000,211,41.89677799,-87.7836041,607 N CUYLER AVE
16053150290000,211,41.89654677,-87.78360608,601 N CUYLER AVE
16053150310000,211,41.89664219,-87.78421035,316 IOWA ST
16053160220000,211,41.89746914,-87.78203697,627 N HARVEY AVE
16053170230000,211,41.89814186,-87.78043277,645 N LOMBARD AVE
16053170270000,211,41.89765186,-87.78046585,633 N LOMBARD AVE
16053180230000,211,41.89751182,-87.77877292,627 N TAYLOR AVE
16053180250000,211,41.89727687,-87.77876184,621 N TAYLOR AVE
16053190110000,211,41.89714998,-87.77815559,616 N TAYLOR AVE
16053190120000,211,41.89704235,-87.77816089,614 N TAYLOR AVE
16053190210000,211,41.89789889,-87.77718783,639 N HUMPHREY AVE
16053190220000,211,41.89776844,-87.7771977,633 N HUMPHREY AVE 1 2
16053190240000,211,41.89750082,-87.77717381,627 N HUMPHREY AVE
16053190270000,211,41.89720061,-87.77715893,619 N HUMPHREY AVE
16053190290000,211,41.89695254,-87.7771305,611 N HUMPHREY AVE 1
16053190300000,211,41.89670607,-87.77755435,50 IOWA ST
16053190310000,211,41.89683205,-87.77714352,607 N HUMPHREY AVE
16053190320000,211,41.89673594,-87.77713006,605 N HUMPHREY AVE
16053190330000,211,41.89663992,-87.77713566,601 N HUMPHREY AVE
16053200010000,211,41.89822316,-87.77659077,646 N HUMPHREY AVE
16053200090000,211,41.89767467,-87.77650378,630 N HUMPHREY AVE
16053200100000,211,41.89758324,-87.77648709,628 N HUMPHREY AVE
16053200110000,211,41.89747902,-87.77652296,626 N HUMPHREY AVE
16053200120000,211,41.89739421,-87.77652369,624 N HUMPHREY AVE
16053200210000,211,41.89672021,-87.77608722,16 IOWA ST
16053200230000,315,41.89821909,-87.77567689,948 N AUSTIN BLVD
16053200280000,315,41.89768412,-87.77557047,930 N AUSTIN BLVD
16053200290000,211,41.89752868,-87.77551922,928 N AUSTIN BLVD
16053200300000,211,41.89738199,-87.77554234,924 N AUSTIN BLVD
16053200350000,315,41.89665946,-87.77592297,900 N AUSTIN BLVD
16053210180000,211,41.89531266,-87.78366442,519 N CUYLER AVE
16053210280000,212,41.89475503,-87.78383904,310 CHICAGO AVE
16053210320000,314,41.89483522,-87.78407044,318 CHICAGO AVE
16053220090000,211,41.89524845,-87.78293177,516 N CUYLER AVE 2
16053220160000,211,41.89553231,-87.78203835,525 N HARVEY AVE 2
16053220170000,211,41.89538628,-87.78200148,521 N HARVEY AVE
16053220190000,314,41.8950646,-87.78308006,508 N CUYLER AVE
16053230030000,211,41.89608401,-87.7813618,540 N HARVEY AVE
16053230140000,211,41.89585948,-87.78038182,531 N LOMBARD AVE
16053230180000,211,41.89529365,-87.7803729,515 N LOMBARD AVE
16053230220000,211,41.89487238,-87.78092426,216 CHICAGO AVE
16053230230000,211,41.89480064,-87.78080101,214 CHICAGO AVE
16053230250000,318,41.89480496,-87.78025636,202 CHICAGO AVE
16053240060000,211,41.89580206,-87.77969191,532 N LOMBARD AVE
16053240080000,211,41.89563131,-87.77969338,526 N LOMBARD AVE
16053240090000,211,41.89552815,-87.77969427,524 N LOMBARD AVE
16053240250000,212,41.89482884,-87.77926677,116 CHICAGO AVE
16053240260000,212,41.89482838,-87.77917148,114 CHICAGO AVE
16053240270000,212,41.89482794,-87.77908096,112 CHICAGO AVE
16053240280000,212,41.89482744,-87.77897615,110 CHICAGO AVE
16053240300000,212,41.89484573,-87.77981927,130 CHICAGO AVE
16053240310000,212,41.89483469,-87.77974314,128 CHICAGO AVE
16053240320000,211,41.89513545,-87.77867335,511 N TAYLOR AVE
16053250030000,211,41.89615005,-87.77809284,538 N TAYLOR AVE
16053250040000,211,41.89602209,-87.77810824,536 N TAYLOR AVE
16053250050000,211,41.8958726,-87.77809047,530 N TAYLOR AVE
16053250060000,211,41.89574107,-87.77811067,528 N TAYLOR AVE
16053250090000,211,41.89533541,-87.77808559,516 N TAYLOR AVE
16053250110000,315,41.89634258,-87.77740013,545 N HUMPHREY AVE
16053250130000,211,41.8960244,-87.7771172,537 N HUMPHREY AVE
16053250170000,211,41.89561169,-87.77710648,525 N HUMPHREY AVE
16053250190000,211,41.89541939,-87.77706527,519 N HUMPHREY AVE
16053250200000,211,41.89534825,-87.77706589,517 N HUMPHREY AVE
16053250210000,211,41.89528438,-87.7770998,515 N HUMPHREY AVE
16053250230000,318,41.89492809,-87.7776824,56 CHICAGO AVE
16053250240000,314,41.89491327,-87.77758899,50 CHICAGO AVE
16053250250000,211,41.89491251,-87.77743177,48 CHICAGO AVE
16053260070000,211,41.89566546,-87.77646804,526 N HUMPHREY AVE
16053260080000,211,41.89556233,-87.7764737,522 N HUMPHREY AVE
16053260120000,211,41.89639004,-87.77549929,848 N AUSTIN BLVD
16053260140000,211,41.89615884,-87.77550607,840 N AUSTIN BLVD
16053260150000,211,41.89605902,-87.775464,836 N AUSTIN BLVD
16053260230000,314,41.89515664,-87.77644375,510 N HUMPHREY AVE
16053260380000,212,41.89487381,-87.77564572,2 CHICAGO AVE
16061020050000,212,41.9087152,-87.80207313,7017 NORTH AVE
16061020120000,318,41.90870576,-87.80145934,7003 NORTH AVE
16061020130000,318,41.90870746,-87.80136935,7001 NORTH AVE
16061030120000,318,41.90876982,-87.79996534,6935 NORTH AVE
16061030130000,318,41.9085166,-87.79990685,6933 NORTH AVE
16061030140000,318,41.908614,-87.79978097,6931 NORTH AVE
16061030400000,318,41.90875851,-87.80073315,6951 NORTH AVE
16061040110000,212,41.90873644,-87.79852167,6905 NORTH AVE
16061040120000,212,41.90868091,-87.79840097,6901 NORTH AVE
16061050040000,212,41.90872166,-87.79753695,6851 NORTH AVE
16061070830000,211,41.90642221,-87.80526414,1431 N HARLEM AVE
16061130070000,211,41.90423159,-87.80517715,1321 N HARLEM AVE
16061130260000,211,41.90440563,-87.80514994,1327 N HARLEM AVE 1
16061130300000,211,41.90380997,-87.80516214,1307 N HARLEM AVE
16061130310000,314,41.90367574,-87.80509162,1305 N HARLEM AVE
16061130320000,211,41.90507564,-87.80518827,1345 N HARLEM AVE
16062000040000,212,41.90878487,-87.79460476,6739 NORTH AVE
16062010030000,212,41.90879284,-87.79347732,6717 NORTH AVE
16062030010000,212,41.90881124,-87.79122245,6619 NORTH AVE
16062030020000,212,41.90881722,-87.79111786,6617 NORTH AVE
16062030060000,315,41.90891244,-87.7907512,6609 NORTH AVE
16062030070000,315,41.90891074,-87.79072195,6607 NORTH AVE
16062030080000,315,41.90879769,-87.79058498,6605 NORTH AVE
16062030090000,315,41.90892589,-87.79046059,6603 NORTH AVE
16062030100000,212,41.90872905,-87.79036671,6601 NORTH AVE
16062040010000,318,41.90888217,-87.79004477,6557 NORTH AVE
16062040020000,318,41.90889387,-87.78994109,6555 NORTH AVE
16062040030000,318,41.9088037,-87.78988862,6553 NORTH AVE
16062040100000,212,41.9088717,-87.78920086,6539 NORTH AVE
16062040110000,212,41.90885181,-87.78910529,6537 NORTH AVE
16062040130000,212,41.90873188,-87.78890795,6533 NORTH AVE
16063000080000,211,41.900367,-87.80508689,1117 N HARLEM AVE
16063010140000,211,41.9000111,-87.80357791,804 N MARION ST
16063010190000,211,41.90090021,-87.80277807,831 BELLEFORTE AVE 2
16063010230000,211,41.90030643,-87.80284517,813 BELLEFORTE AVE
16063010240000,211,41.90017252,-87.80282238,811 BELLEFORTE AVE
16063010310000,211,41.89992614,-87.80326331,1050 THOMAS ST
16063020070000,211,41.90052441,-87.80214556,820 BELLEFORTE AVE 2
16063020090000,211,41.90043075,-87.80214633,818 BELLEFORTE AVE
16063020100000,211,41.90031832,-87.8021377,812 BELLEFORTE AVE
16063020280000,211,41.90033073,-87.80121199,813 FOREST AVE
16063030090000,211,41.90034462,-87.80063708,814 FOREST AVE
16063070030000,211,41.89905647,-87.80505105,1029 N HARLEM AVE
16063070040000,211,41.8989583,-87.80503992,1027 N HARLEM AVE
16063070060000,211,41.89876211,-87.80505348,1021 N HARLEM AVE
16063070070000,211,41.89867283,-87.80503629,1017 N HARLEM AVE
16063070080000,211,41.89857028,-87.80504311,1015 N HARLEM AVE
16063070130000,211,41.89932235,-87.80417918,739 N MARION ST
16063070290000,211,41.89915019,-87.80506223,1031 N HARLEM AVE
16063080030000,211,41.89917994,-87.80356986,734 N MARION ST
16063080050000,211,41.89897396,-87.80357157,728 N MARION ST
16063080060000,211,41.89886251,-87.80355012,724 N MARION ST
16063080070000,211,41.89874169,-87.80363815,720 N MARION ST
16063080290000,211,41.89811629,-87.80316642,1050 AUGUSTA ST 1
16063090050000,211,41.89889385,-87.80208786,724 BELLEFORTE AVE
16063090330000,211,41.89948693,-87.80213264,740 BELLEFORTE AVE
16063110180000,211,41.89926619,-87.79819882,733 N KENILWORTH AVE
16063110230000,211,41.89864598,-87.79814426,715 N KENILWORTH AVE
16063120180000,211,41.8996227,-87.79663309,741 N GROVE AVE
16063130040000,211,41.89943468,-87.79599662,738 N GROVE AVE
