id,category,cats,n_parcels,lat,lon,units,address,on_arterial,d_commercial,corridor_200,corridor_300,corridor_400
0,apartment,apartment,1,41.90881133,-87.78066365,,6149 NORTH AVE,1,103.1,1,1,1
1,apartment,apartment,1,41.90888218,-87.77842089,,6101 NORTH AVE,1,113.2,1,1,1
2,apartment,apartment,1,41.9088874,-87.77803968,,6051 NORTH AVE,1,88.2,1,1,1
3,apartment,apartment,1,41.90900467,-87.77744398,,6033 NORTH AVE,1,35.8,1,1,1
4,apartment,apartment,1,41.90900587,-87.77709798,,6033 NORTH AVE,1,129.3,1,1,1
5,apartment,apartment,1,41.90902531,-87.77763022,,6043 NORTH AVE,1,15.3,1,1,1
6,apartment,apartment,1,41.90894743,-87.77795803,,6049 W NORTH AVE,1,57.7,1,1,1
7,apartment,apartment,1,41.90863444,-87.77593126,,1530 N AUSTIN BLVD,1,166.5,1,1,1
8,apartment,apartment,1,41.90830533,-87.7759391,,1522 N AUSTIN BLVD 2,1,268.7,1,1,1
9,apartment,apartment,1,41.90821436,-87.77593108,,1520 N AUSTIN BLVD,1,300.2,1,1,1
10,apartment,apartment,1,41.9080313,-87.77592207,,1514 N AUSTIN BLVD 1,1,364.0,1,1,1
11,apartment,apartment,1,41.90642168,-87.77713227,,1113 N HUMPHREY AVE,0,952.2,0,0,0
12,apartment,apartment,1,41.90692502,-87.77587994,,1428 N AUSTIN BLVD,1,759.5,1,1,1
13,apartment,apartment,1,41.90682113,-87.77588085,,1426 N AUSTIN BLVD,1,796.8,1,1,1
14,apartment,apartment,1,41.90671076,-87.77588181,,1424 N AUSTIN BLVD,1,836.5,1,1,1
15,apartment,apartment,1,41.90661335,-87.77588266,,1420 N AUSTIN BLVD 1,1,871.6,1,1,1
16,apartment,apartment,1,41.90652234,-87.77586641,,1416 N AUSTIN BLVD,1,905.0,1,1,1
17,apartment,apartment,1,41.90634872,-87.77583938,,1414 N AUSTIN BLVD,1,968.6,1,1,1
18,apartment,apartment,1,41.90625609,-87.77583349,,1410 N AUSTIN BLVD,1,1002.2,1,1,1
19,apartment,apartment,1,41.9061782,-87.77585179,,1406 N AUSTIN BLVD 1,1,1029.7,1,1,1
20,apartment,apartment,1,41.90609395,-87.77584371,,1404 N AUSTIN BLVD 1,1,1060.4,1,1,1
21,apartment,apartment,1,41.90569794,-87.77569771,,1350 N AUSTIN BLVD,1,1208.5,1,1,1
22,apartment,apartment,1,41.90538056,-87.77581083,,1340 N AUSTIN BLVD,1,1319.4,1,1,1
23,apartment,apartment,1,41.90515698,-87.77579314,,1336 N AUSTIN BLVD,1,1400.8,1,1,1
24,apartment,apartment,1,41.90503971,-87.77578925,,1332 N AUSTIN BLVD 2,1,1443.4,1,1,1
25,apartment,apartment,1,41.90492612,-87.77578534,,1328 N AUSTIN BLVD 2,1,1484.6,1,1,1
26,apartment,apartment,1,41.9048089,-87.77579126,,1324 N AUSTIN BLVD,1,1526.9,1,1,1
27,apartment,apartment,1,41.90467684,-87.77575868,,1322 N AUSTIN BLVD,1,1575.6,1,1,1
28,apartment,apartment,1,41.90459976,-87.77572991,,1320 N AUSTIN BLVD,1,1604.3,1,1,1
29,apartment,apartment,1,41.90450814,-87.7757258,,1316 N AUSTIN BLVD 2,1,1637.6,1,1,1
30,apartment,apartment,1,41.90331252,-87.77572599,,1238 N AUSTIN BLVD,1,2071.1,1,1,1
31,apartment,apartment,1,41.90314245,-87.77570919,,1232 N AUSTIN BLVD,1,2133.2,1,1,1
32,apartment,apartment,1,41.90302652,-87.7758679,,1228 N AUSTIN BLVD,1,2172.4,1,1,1
33,apartment,apartment,1,41.90105269,-87.78048688,,829 N LOMBARD AVE,0,2244.0,0,0,0
34,apartment,apartment,1,41.90112117,-87.77929925,,827 HAYES AVE,0,2226.5,0,0,0
35,apartment,apartment,1,41.9017316,-87.77558677,,1144 N AUSTIN BLVD,1,2476.2,1,1,1
36,apartment,apartment,1,41.9008573,-87.7755425,,1118 N AUSTIN BLVD,1,2159.2,1,1,1
37,apartment,apartment,1,41.90034949,-87.77550105,,1100 N AUSTIN BLVD,1,1975.6,1,1,1
38,apartment,apartment,1,41.89859199,-87.78470146,,706 N RIDGELAND AVE,1,1315.2,1,1,1
39,apartment,apartment,1,41.89842061,-87.78145516,,700 N HARVEY AVE,0,1267.6,0,0,0
40,apartment,apartment,1,41.89890806,-87.77799334,,715 N TAYLOR AVE,0,1419.7,0,0,0
41,apartment,apartment,1,41.8984655,-87.77798451,,701 N TAYLOR AVE 1N,0,1258.6,0,0,0
42,apartment,apartment,1,41.89845868,-87.77678659,,701 N HUMPHREY AVE,0,1264.7,0,0,0
43,apartment,apartment,1,41.89934586,-87.77558453,,1028 N AUSTIN BLVD,1,1609.6,1,1,1
44,apartment,apartment,1,41.89919937,-87.77552769,,1022 N AUSTIN BLVD,1,1557.8,1,1,1
45,apartment,apartment,1,41.89902338,-87.77553085,,1018 N AUSTIN BLVD,1,1493.9,1,1,1
46,apartment,apartment,1,41.89866997,-87.77554275,,1004 N AUSTIN BLVD 1,1,1365.6,1,1,1
47,apartment,apartment,1,41.89858184,-87.77553478,,1002 N AUSTIN BLVD 1,1,1333.9,1,1,1
48,apartment,apartment,1,41.89848524,-87.77545567,,1000 N AUSTIN BLVD,1,1301.4,1,1,1
49,apartment,apartment,1,41.89677799,-87.7836041,,607 N CUYLER AVE,0,711.3,0,0,0
50,apartment,apartment,1,41.89654677,-87.78360608,,601 N CUYLER AVE,0,634.4,0,0,0
51,apartment,apartment,1,41.89664219,-87.78421035,,316 IOWA ST,1,615.9,1,1,1
52,apartment,apartment,1,41.89746914,-87.78203697,,627 N HARVEY AVE,0,914.8,0,0,0
